"タイトル","日程","会場","開場","開演","出演","出演形式","出演回数"
"M-line Special 2023 ～Magical Wish～","2023/12/09","岐阜club-G (岐阜)","14:00","14:30","小片リサ","出演","1"
"M-line Special 2023 ～Magical Wish～","2023/12/09","岐阜club-G (岐阜)","14:00","14:30","稲場愛香","出演","1"
"M-line Special 2023 ～Magical Wish～","2023/12/09","岐阜club-G (岐阜)","17:00","17:30","宮本佳林","出演","0"
"M-line Special 2023 ～Magical Wish～","2023/12/09","岐阜club-G (岐阜)","17:00","17:30","小関舞","出演","1"
"M-line Special 2023 ～Magical Wish～","2023/12/09","岐阜club-G (岐阜)","17:00","17:30","小片リサ","出演","1"
"M-line Special 2023 ～Magical Wish～","2023/12/09","岐阜club-G (岐阜)","17:00","17:30","稲場愛香","出演","1"
"M-line Special 2023 ～Magical Wish～","2023/12/10","SOUND SHOWER ark (静岡)","14:00","14:30","宮本佳林","出演","0"
"M-line Special 2023 ～Magical Wish～","2023/12/10","SOUND SHOWER ark (静岡)","14:00","14:30","佐藤優樹","出演","1"
"M-line Special 2023 ～Magical Wish～","2023/12/10","SOUND SHOWER ark (静岡)","14:00","14:30","稲場愛香","出演","1"
"M-line Special 2023 ～Magical Wish～","2023/12/10","SOUND SHOWER ark (静岡)","14:00","14:30","小関舞","出演","1"
"M-line Special 2023 ～Magical Wish～","2023/12/10","SOUND SHOWER ark (静岡)","14:00","14:30","小片リサ","出演","1"
"M-line Special 2023 ～Magical Wish～","2023/12/10","SOUND SHOWER ark (静岡)","17:00","17:30","宮本佳林","出演","0"
"M-line Special 2023 ～Magical Wish～","2023/12/10","SOUND SHOWER ark (静岡)","17:00","17:30","佐藤優樹","出演","1"
"M-line Special 2023 ～Magical Wish～","2023/12/10","SOUND SHOWER ark (静岡)","17:00","17:30","稲場愛香","出演","1"
"M-line Special 2023 ～Magical Wish～","2023/12/10","SOUND SHOWER ark (静岡)","17:00","17:30","小関舞","出演","1"
"M-line Special 2023 ～Magical Wish～","2023/12/10","SOUND SHOWER ark (静岡)","17:00","17:30","小片リサ","出演","1"
"M-line Special 2023 ～Magical Wish～","2023/12/17","周南RISING HALL (山口)","13:00","13:30","宮崎由加","出演","1"
"M-line Special 2023 ～Magical Wish～","2023/12/17","周南RISING HALL (山口)","13:00","13:30","宮本佳林","出演","1"
"M-line Special 2023 ～Magical Wish～","2023/12/17","周南RISING HALL (山口)","13:00","13:30","小関舞","出演","1"
"M-line Special 2023 ～Magical Wish～","2023/12/17","周南RISING HALL (山口)","13:00","13:30","小片リサ","出演","1"
"M-line Special 2023 ～Magical Wish～","2023/12/17","周南RISING HALL (山口)","16:00","16:30","宮崎由加","出演","1"
"M-line Special 2023 ～Magical Wish～","2023/12/17","周南RISING HALL (山口)","16:00","16:30","宮本佳林","出演","1"
"M-line Special 2023 ～Magical Wish～","2023/12/17","周南RISING HALL (山口)","16:00","16:30","小関舞","出演","1"
"M-line Special 2023 ～Magical Wish～","2023/12/17","周南RISING HALL (山口)","16:00","16:30","小片リサ","出演","1"
"小関舞・小片リサファンクラブイベント☆ミニミニクリスマス☆","2023/12/21","TOKYO FM HALL (東京)","16:30","17:10","小関舞","出演","1"
"小関舞・小片リサファンクラブイベント☆ミニミニクリスマス☆","2023/12/21","TOKYO FM HALL (東京)","16:30","17:10","小片リサ","出演","1"
"小関舞・小片リサファンクラブイベント☆ミニミニクリスマス☆","2023/12/21","TOKYO FM HALL (東京)","18:40","19:20","小関舞","出演","1"
"小関舞・小片リサファンクラブイベント☆ミニミニクリスマス☆","2023/12/21","TOKYO FM HALL (東京)","18:40","19:20","小片リサ","出演","1"
"稲場愛香バースデーイベントLv26～まなかんサンタがやってくる～","2023/12/22","一ツ橋ホール（東京）","18:20","19:10","稲場愛香","出演","1"
"M-line Special 2023 ～Magical Wish～","2023/12/24","仙台GIGS (宮城)","13:30","14:00","夏焼雅","出演","1"
"M-line Special 2023 ～Magical Wish～","2023/12/24","仙台GIGS (宮城)","13:30","14:00","宮崎由加","出演","1"
"M-line Special 2023 ～Magical Wish～","2023/12/24","仙台GIGS (宮城)","13:30","14:00","宮本佳林","出演","1"
"M-line Special 2023 ～Magical Wish～","2023/12/24","仙台GIGS (宮城)","13:30","14:00","小関舞","出演","1"
"M-line Special 2023 ～Magical Wish～","2023/12/24","仙台GIGS (宮城)","13:30","14:00","小片リサ","出演","1"
"M-line Special 2023 ～Magical Wish～","2023/12/24","仙台GIGS (宮城)","16:30","17:00","夏焼雅","出演","1"
"M-line Special 2023 ～Magical Wish～","2023/12/24","仙台GIGS (宮城)","16:30","17:00","宮崎由加","出演","1"
"M-line Special 2023 ～Magical Wish～","2023/12/24","仙台GIGS (宮城)","16:30","17:00","宮本佳林","出演","1"
"M-line Special 2023 ～Magical Wish～","2023/12/24","仙台GIGS (宮城)","16:30","17:00","小関舞","出演","1"
"M-line Special 2023 ～Magical Wish～","2023/12/24","仙台GIGS (宮城)","16:30","17:00","小片リサ","出演","1"
"RISA OGATA CONCERT「éclatant」","2023/12/27","第一ホテル両国「清澄」","20:15","20:45","小片リサ","出演","1"
"RISA OGATA CONCERT「éclatant」","2023/12/27","第一ホテル両国「清澄」","20:15","20:45","Bitter & Sweet","出演","1"
"Hello! Project Year-End Party 2023 ～GOOD BYE & HELLO ! ～ ACT2","2023/12/31","J：COMホール八王子","17:45","18:45","モーニング娘。'23","出演","1"
"Hello! Project Year-End Party 2023 ～GOOD BYE & HELLO ! ～ ACT2","2023/12/31","J：COMホール八王子","17:45","18:45","つばきファクトリー","出演","1"
"Hello! Project Year-End Party 2023 ～GOOD BYE & HELLO ! ～ ACT2","2023/12/31","J：COMホール八王子","17:45","18:45","BEYOOOOONDS","出演","1"
"Hello! Project Year-End Party 2023 ～GOOD BYE & HELLO ! ～ ACT2","2023/12/31","J：COMホール八王子","17:45","18:45","ハロプロ研修生ユニット'23","出演","1"
"Hello! Project Year-End Party 2023 ～GOOD BYE & HELLO ! ～ ACT2","2023/12/31","J：COMホール八王子","17:45","18:45","ハロプロ研修生","出演","1"
"Hello! Project Year-End Party 2023 ～GOOD BYE & HELLO ! ～ ACT2","2023/12/31","J：COMホール八王子","17:45","18:45","佐藤優樹","ゲスト出演","1"
"Hello! Project Year-End Party 2023 ～GOOD BYE & HELLO ! ～ ACT2","2023/12/31","J：COMホール八王子","17:45","18:45","宮崎由加","ゲスト出演","1"
"Hello! Project Year-End Party 2023 ～GOOD BYE & HELLO ! ～ ACT2","2023/12/31","J：COMホール八王子","17:45","18:45","森戸知沙希","ゲスト出演","1"
"Hello! Project Year-End Party 2023 ～GOOD BYE & HELLO ! ～ ACT2","2023/12/31","J：COMホール八王子","17:45","18:45","小関舞","ゲスト出演","1"
"Hello! Project Year-End Party 2023 ～GOOD BYE & HELLO ! ～ ACT2","2023/12/31","J：COMホール八王子","17:45","18:45","小片リサ","ゲスト出演","1"
